response_id,participant_id,source_file,response_kind,text,char_len,word_len,order,puzzle_id,final_difficulty,immediate_difficulty,skill_nonogram,codeable,n_codes,code_FOOT,code_CLUE,code_PROP,code_AMBIG,code_GUESS,code_HINT,code_ERR,code_LEARN,code_LOAD,code_VIS,code_TIME,code_UI,code_AFF,code_S_FORCED,code_S_CONSTR,code_S_OVERLAP,code_S_EDGE,code_S_CROSS,code_S_NEG,code_S_TRIAL,code_S_HINT,codes_str
R0014,P005,Bing-p5.ndjson,rating_reason,"There were no rows that could be completely filled in from the start. All of the rows you could only at most fill in the squares that are always filled in regardless of the combination. It took the most thinking of the three, which is why I rated it the hardest.",262,51,3.0,5.0,5.0,5.0,8.0,True,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|AMBIG
R0015,P006,Bing-p6.ndjson,rating_reason,"hardest, probably because still warming up",42,6,1.0,1.0,5.0,5.0,6.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0016,P006,Bing-p6.ndjson,rating_reason,"easiest, probably because the fixed line is on the edge(?",57,10,2.0,2.0,3.0,3.0,6.0,True,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|VIS
R0017,P006,Bing-p6.ndjson,rating_reason,2nd hardest. I forgot... just feels like,40,7,3.0,5.0,4.0,4.0,6.0,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AFF
R0018,P007,Bing-p7.ndjson,rating_reason,,3,1,1.0,2.0,4.0,4.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0019,P007,Bing-p7.ndjson,rating_reason,Solved it eventually but was somewhat hard. My previous assumptions were wrong which made is harder,99,16,2.0,0.0,4.0,4.0,1.0,True,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERR|GUESS
R0020,P007,Bing-p7.ndjson,rating_reason,"Same reasoning as puzzle 2, I used same method to solve",55,11,3.0,3.0,4.0,4.0,1.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0021,P008,Bing-p8.ndjson,rating_reason,never need to guess,19,4,1.0,2.0,2.0,2.0,5.0,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS
R0022,P008,Bing-p8.ndjson,rating_reason,"guess one time, but most info are certain",41,8,2.0,0.0,3.0,3.0,5.0,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS
R0023,P008,Bing-p8.ndjson,rating_reason,"guess two times, only one column is certain at beginning",56,10,3.0,3.0,4.0,4.0,5.0,True,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|FOOT
R0024,P009,Bing-p9.ndjson,rating_reason,"I was exploring the pattern of the game. So in puzzle 1, I spent more time learning.",84,17,1.0,3.0,5.0,5.0,8.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0025,P009,Bing-p9.ndjson,rating_reason,"When I do puzzle 2, I already know some patterns. So it becomes easier.",71,14,2.0,5.0,4.0,4.0,8.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0026,P009,Bing-p9.ndjson,rating_reason,"I think I have found the skills of doing this puzzle, puzzle 3 is the easiest for me.",85,18,3.0,4.0,3.0,3.0,8.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0027,P010,Bing-p10.ndjson,rating_reason,"A lot of ""free"" lines that add up to 10 (including spaces)
A lot of the free lines were also at the edges so the information was very easy to use I guess?
Lots of big numbers I think",182,39,1.0,0.0,2.0,2.0,6.0,True,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|VIS|CLUE
R0028,P010,Bing-p10.ndjson,rating_reason,"Not a lot of easy lines at the start relatively?
A lot of the first steps I did were in the middle as opposed to the edges which made things a bit harder to think about? 
A lot more smaller numbers",197,41,2.0,1.0,4.0,4.0,6.0,True,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|VIS|CLUE
R0029,P010,Bing-p10.ndjson,rating_reason,"A lot of smaller numbers and few free lines but everything started on the left, so it kind of felt like solving a 5x10 and then the other half was really easy since I already had so much info",191,39,3.0,4.0,3.0,3.0,6.0,True,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT|VIS|PROP
R0030,P011,Bing-p11.ndjson,rating_reason,I didn't guess for this puzzle at all and used the hints as a way to figure out a guaranteed correct spot rather than to correct a guess. There weren't a lot of definitive columns or rows to go off of as opposed to the previous trial one.,238,48,1.0,1.0,4.0,4.0,5.0,True,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|HINT|FOOT
R0031,P011,Bing-p11.ndjson,rating_reason,"I had to guess 2 squares since I didn't see a logical way to move forward otherwise, and tried one solution and used the hints to make sure I was guessing correctly.",165,32,2.0,4.0,5.0,5.0,5.0,True,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|HINT
R0032,P011,Bing-p11.ndjson,rating_reason,"I didn't exactly run into a situation where I couldn't logically deduce the next step, I just started guessing because I figured I wouldn't need to use all the hints and I got impatient so I just used the hints as a way to eliminate decisions I didn't want to make later.",271,52,3.0,5.0,4.0,4.0,5.0,True,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|HINT
R0033,P012,Bing-p12.ndjson,rating_reason,"For both puzzle one and two, I made a small mistake that then allowed me to make some incorrect deductions that were tricky to trace back to.",141,27,1.0,2.0,3.0,3.0,3.0,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERR
R0034,P012,Bing-p12.ndjson,rating_reason,"Again, I made some small mistakes when I assumed that some boxes could be crossed out with an ""x"". This one I found a little trickier because it had more ""1"" boxes, which have more spaces that they can fit.",206,40,2.0,5.0,3.0,3.0,3.0,True,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERR|CLUE|AMBIG
R0035,P012,Bing-p12.ndjson,rating_reason,I think this time I learned from the previous puzzles not to cross anything out too quickly which helped my boxes be more accurate and led to fewer mistakes that needed fixing.,176,32,3.0,1.0,2.0,2.0,3.0,True,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN|ERR
R0036,P013,Bing-p13.ndjson,rating_reason,"I rated it this difficulty because I had to think about it a little, but I never got stuck and felt confident the entire time.",126,25,1.0,5.0,2.0,2.0,9.0,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AFF
R0037,P013,Bing-p13.ndjson,rating_reason,"I rated it this difficulty because I had to think about it a little, but I never got stuck and felt confident the entire time.",126,25,2.0,4.0,2.0,2.0,9.0,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AFF
R0038,P013,Bing-p13.ndjson,rating_reason,"I rated it this difficulty because I had to think about it a little, but I never got stuck and felt confident the entire time.",126,25,3.0,1.0,2.0,2.0,9.0,True,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AFF
R0039,P014,Bing-p14.ndjson,rating_reason,A few fuller lines made it easier,33,7,1.0,0.0,3.0,3.0,5.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE
R0040,P014,Bing-p14.ndjson,rating_reason,Lack of fuller lines made it harder,35,7,2.0,1.0,4.0,4.0,5.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE
R0041,P014,Bing-p14.ndjson,rating_reason,A few fuller lines made it easier,33,7,3.0,3.0,3.0,4.0,5.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE
R0042,P015,Bing-p15.ndjson,rating_reason,,3,1,1.0,1.0,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0043,P015,Bing-p15.ndjson,rating_reason,,3,1,2.0,2.0,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0044,P015,Bing-p15.ndjson,rating_reason,,3,1,3.0,0.0,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0045,P016,Bing-p16.ndjson,rating_reason,"If I remember correctly, there were many ""full"" columns near the sides that allowed me to build off of the first/last rows (or rows/columns switched). There were mostly just big chunks, too (not sparse) so it was fairly straightforward. I didn't give it a 1 because it wasn't the most straightforward that I have seen.",318,55,1.0,2.0,2.0,2.0,9.0,True,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|VIS|CLUE
R0046,P016,Bing-p16.ndjson,rating_reason,"This puzzle was slightly harder than the first one because it had a few non-obvious ""full"" columns/rows due to more ""sparser"" groupings (i.e. 1 4 2 is not obviously a full column but it is). The rest of the puzzle was straightforward to work through building off of these.",272,49,2.0,5.0,3.0,3.0,9.0,True,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|AMBIG|PROP
R0047,P016,Bing-p16.ndjson,rating_reason,"This puzzle seemed easy at first with the two full 8 1 columns and rows, but the sparse and small chunks overall made it harder to keep track of where to look/check next. Many 1s and 2s kept a lot of uncertainty that couldn't be eliminated quickly, so I had to work through the puzzle with a lot of ""tolerance"" in mind. It was mostly an exercise of finding where to look next and keeping track of how one piece of information updates the other columns and rows, which is hard.",476,91,3.0,0.0,4.0,4.0,9.0,True,5,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE|LOAD|PROP|VIS
R0048,P017,Bing-p17.ndjson,rating_reason,"First time solving it, trying some ways, making it harder, but after solving the other two, there should be a faster way in solving the first",141,26,1.0,3.0,3.0,4.0,1.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0049,P017,Bing-p17.ndjson,rating_reason,Need some trials and guessing.,30,5,2.0,5.0,3.0,3.0,1.0,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS
R0050,P017,Bing-p17.ndjson,rating_reason,The 4 3 1 makes a only solution for the column/row.,51,11,3.0,2.0,2.0,2.0,1.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE
R0051,P018,Bing-p18.ndjson,rating_reason,Hard. I found myself waiting to use the Hint button because I was struggling to determine whether or not a box was white/black without making any guesses. I tried to refrain from making guesses until the Hint button was available,229,40,1.0,4.0,4.0,4.0,3.0,True,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT|GUESS
R0052,P018,Bing-p18.ndjson,rating_reason,"I found the difficulty just as hard as the first one, with a lot of guessing and checking (with the Hint button)",112,22,2.0,1.0,4.0,4.0,3.0,True,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|HINT
R0053,P018,Bing-p18.ndjson,rating_reason,I thought this puzzle was easier than the first 2 (took me less time) and the 2 columns with 1 and 8 easily ruled out 2 columns. The columns beside each other also made it easy to make an educated guess about what squares I thought should be black/white.,254,49,3.0,0.0,3.0,3.0,3.0,True,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|CLUE|GUESS|PROP
R0054,P019,Bing-p19.ndjson,rating_reason,"The puzzles were all harder than the warm up one, mostly due to smaller numbers, and having few rows that are immediately locked in (e.g. 8 1 is immediately clear)",163,30,1.0,5.0,3.0,3.0,8.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT
R0055,P019,Bing-p19.ndjson,rating_reason,"Similar to the rest, there were very few rows that could be solved just by themselves so it required a lot of going back over the puzzle and checking positions of the numbers and x squares to fill in the tiles. Most hints consist of numbers <4 which meant there were many more possible arrangements that had to be ruled out first.",330,62,2.0,1.0,4.0,4.0,8.0,True,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|PROP|AMBIG|CLUE
R0056,P019,Bing-p19.ndjson,rating_reason,"I found it around the same difficulty as the one before it, it only had one or two lines that could be solved by themselves and both were in the middle of the square which made it more difficult fill squares quickly.",216,42,3.0,4.0,4.0,4.0,8.0,True,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FOOT|VIS
R0057,P020,Bing-p20.ndjson,rating_reason,"Wasn't sure about some of them, so tried to guess, but then forgot which I was certain of and which I guessed",109,22,1.0,0.0,5.0,5.0,7.0,True,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|LOAD
R0058,P020,Bing-p20.ndjson,rating_reason,"There were larger numbers, so it was easier to deduce which cells for sure had to be black/white",96,18,2.0,3.0,4.0,4.0,7.0,True,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|PROP
R0059,P020,Bing-p20.ndjson,rating_reason,"I got better at using the deductive reasoning, and also avoided guessing because it made everything more confusing",114,18,3.0,4.0,3.0,3.0,7.0,True,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN|GUESS
R0060,P021,Bing-p21.ndjson,rating_reason,,3,1,1.0,1.0,3.0,3.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0061,P021,Bing-p21.ndjson,rating_reason,,3,1,2.0,0.0,4.0,4.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0062,P021,Bing-p21.ndjson,rating_reason,,3,1,3.0,2.0,,,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0063,P022,Bing-p22.ndjson,rating_reason,The puzzle was quite easy because the clues given on some lines were quite high and made it easy to identify the first step.,124,24,1.0,2.0,2.0,3.0,6.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT
R0064,P022,Bing-p22.ndjson,rating_reason,"The puzzle is quite hard because there are fewer clues than Puzzle 1 to decide the first steps. Additionally, I spent a lot of time solving it.",143,27,2.0,4.0,4.0,4.0,6.0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT
R0065,P022,Bing-p22.ndjson,rating_reason,"The puzzle is not that hard and not that easy, the clues are enough for me to identify the first steps.",103,21,3.0,5.0,3.0,3.0,6.0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT
R0066,P023,Bing-p23.ndjson,rating_reason,I needed a few hints before I got it,36,9,1.0,3.0,4.0,4.0,1.0,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT
R0067,P023,Bing-p23.ndjson,rating_reason,I was able to do it with no hints,33,9,2.0,1.0,3.0,3.0,1.0,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HINT
R0068,P023,Bing-p23.ndjson,rating_reason,,3,1,3.0,4.0,5.0,5.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0069,P024,Bing-p24.ndjson,rating_reason,it was easier than the third puzzle. I found it easier because of the large number chunks that made it easier to fill things in at the start confidently. I think I took as long as this puzzle as I did because I was still figuring out how to solve them.,252,51,1.0,3.0,3.0,5.0,1.0,True,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT|LEARN
R0070,P024,Bing-p24.ndjson,rating_reason,the third puzzle was harder. I found it easier because of the large number chunks that made it easier to fill things in at the start confidently. This one felt easier than the first puzzle,188,35,2.0,1.0,3.0,3.0,1.0,True,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT|LEARN
R0071,P024,Bing-p24.ndjson,rating_reason,it was the hardest. There were not large chunks of numbers and lots of blank space to figure out. The groups of 1's made it tricky.,131,26,3.0,4.0,5.0,5.0,1.0,True,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CLUE|VIS|FOOT
R0072,P025,Juliana-p1.ndjson,rating_reason,"quite a few low numbers, not many guaranteed rows
not too much speculation nor significant interaction between rows/columns",123,18,1.0,5.0,2.0,3.0,8.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT
R0073,P025,Juliana-p1.ndjson,rating_reason,"low numbers and few guaranteed rows
still following a nice linear logical path",78,13,2.0,4.0,3.0,3.0,8.0,True,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT|PROP
R0074,P025,Juliana-p1.ndjson,rating_reason,"quite a few larger numbers and guaranteed rows, the rows that were rich in 1's were a bit more difficult, but still just a linear logical path",142,27,3.0,2.0,3.0,2.0,8.0,True,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT|PROP
R0075,P026,Juliana-p2.ndjson,rating_reason,I found the puzzle hard because after filling in really obvious rows/columns (like 7 2) it was hard to find any more squares to fill in without guessing or using a hint.,169,32,1.0,0.0,4.0,4.0,1.0,True,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|GUESS|HINT
R0076,P026,Juliana-p2.ndjson,rating_reason,,3,1,2.0,3.0,5.0,5.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0077,P026,Juliana-p2.ndjson,rating_reason,,3,1,3.0,1.0,4.0,4.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0078,P027,Juliana-p3.ndjson,rating_reason,Many blocks were separated by multiple crosses so sometimes I had to take guesses to see which ones are correct.,112,20,1.0,1.0,4.0,4.0,6.0,True,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS|AMBIG
R0079,P027,Juliana-p3.ndjson,rating_reason,I think it felt easier relative to puzzle 1.,44,9,2.0,5.0,2.0,2.0,6.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0080,P027,Juliana-p3.ndjson,rating_reason,I think the previous puzzles sort of helped me get into the mode of working out puzzles. There are also less blocks separated by multiple crosses in comparison.,160,28,3.0,4.0,1.0,1.0,6.0,True,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN|AMBIG
R0081,P028,Juliana-p4.ndjson,rating_reason,It's my first time playing this puzzle so I feel like if I can solve it that means the difficulty is ok sth?,108,23,1.0,4.0,3.0,3.0,1.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0082,P028,Juliana-p4.ndjson,rating_reason,,3,1,2.0,5.0,-1.0,-1.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0083,P028,Juliana-p4.ndjson,rating_reason,,3,1,3.0,1.0,-1.0,-1.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0084,P029,Juliana-p5.ndjson,rating_reason,I got stuck at some points but maybe that's because I wasn't used to it,71,15,1.0,4.0,4.0,4.0,8.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0085,P029,Juliana-p5.ndjson,rating_reason,I was always able to deduce the next value.,43,9,2.0,5.0,2.0,2.0,8.0,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROP
R0086,P029,Juliana-p5.ndjson,rating_reason,I got a little stuck but maybe that's because I misread some of the numbers,75,15,3.0,1.0,3.0,3.0,8.0,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ERR
R0087,P030,Juliana-p6.ndjson,rating_reason,Because it is my first time doing 10x10 puzzle,46,9,1.0,2.0,4.0,4.0,3.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0088,P030,Juliana-p6.ndjson,rating_reason,"Lack of certainty, need to guess",32,6,2.0,3.0,5.0,4.0,3.0,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUESS
R0089,P030,Juliana-p6.ndjson,rating_reason,"there were 2 ""1 8"", so it is easier than puzzle 2",49,12,3.0,0.0,2.0,2.0,3.0,True,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLUE|FOOT
R0090,P031,Juliana-p7.ndjson,rating_reason,"I rated it 5 because it was difficult for me to figure out a method that worked well for me to finish the puzzle. However, once I did, I was able to complete the puzzle with less difficulties then when I started it.",215,43,1.0,0.0,5.0,5.0,1.0,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LEARN
R0091,P031,Juliana-p7.ndjson,rating_reason,,3,1,2.0,5.0,-1.0,-1.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0092,P031,Juliana-p7.ndjson,rating_reason,,3,1,3.0,1.0,-1.0,-1.0,1.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R0093,P032,Michael-p1.ndjson,rating_reason,There were rows/columns that gave me enough hints to fill the whole row/column correctly. Afterwards filling in the rest was easy.,130,21,1.0,0.0,2.0,3.0,5.0,True,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOOT|PROP
R0094,P032,Michael-p1.ndjson,rating_reason,It was sightly harder than the first one. I had to think a bit more out of the box for this one.,96,22,2.0,1.0,3.0,4.0,5.0,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AMBIG
