response_id,participant_id,skill_nonogram,codeable,n_codes,codes_str,code_S_FORCED,code_S_CONSTR,code_S_OVERLAP,code_S_EDGE,code_S_CROSS,code_S_NEG,code_S_TRIAL,code_S_HINT
R0291,P030,3.0,True,1,S_FORCED,1,0,0,0,0,0,0,0
R0294,P031,1.0,True,1,S_CROSS,0,0,0,0,1,0,0,0
R0297,P032,5.0,True,3,S_FORCED|S_EDGE|S_OVERLAP,1,0,1,1,0,0,0,0
R0300,P033,2.0,True,2,S_FORCED|S_NEG,1,0,0,0,0,1,0,0
R0303,P034,7.0,True,1,S_CONSTR,0,1,0,0,0,0,0,0
R0306,P035,5.0,True,1,S_FORCED,1,0,0,0,0,0,0,0
R0309,P036,7.0,True,1,S_OVERLAP,0,0,1,0,0,0,0,0
R0312,P037,9.0,True,3,S_FORCED|S_OVERLAP|S_CROSS,1,0,1,0,1,0,0,0
R0315,P038,3.0,True,4,S_FORCED|S_EDGE|S_OVERLAP|S_NEG,1,0,1,1,0,1,0,0
R0318,P039,3.0,True,2,S_OVERLAP|S_TRIAL,0,0,1,0,0,0,1,0
R0321,P040,3.0,True,3,S_TRIAL|S_HINT|S_NEG,0,0,0,0,0,1,1,1
R0324,P041,9.0,True,3,S_CONSTR|S_OVERLAP|S_EDGE,0,1,1,1,0,0,0,0
R0327,P042,2.0,True,1,S_CROSS,0,0,0,0,1,0,0,0
R0330,P043,5.0,True,1,S_TRIAL,0,0,0,0,0,0,1,0
R0333,P044,3.0,True,2,S_FORCED|S_NEG,1,0,0,0,0,1,0,0
R0336,P045,4.0,True,3,S_FORCED|S_TRIAL|S_NEG,1,0,0,0,0,1,1,0
R0339,P046,5.0,True,3,S_NEG|S_CONSTR|S_CROSS,0,1,0,0,1,1,0,0
R0342,P047,4.0,True,2,S_OVERLAP|S_CROSS,0,0,1,0,1,0,0,0
R0345,P048,5.0,True,2,S_FORCED|S_TRIAL,1,0,0,0,0,0,1,0
R0348,P049,2.0,True,2,S_CROSS|S_NEG,0,0,0,0,1,1,0,0
R0351,P050,6.0,True,1,S_FORCED,1,0,0,0,0,0,0,0
R0354,P051,1.0,True,3,S_FORCED|S_TRIAL|S_CROSS,1,0,0,0,1,0,1,0
R0357,P052,1.0,True,1,S_CONSTR,0,1,0,0,0,0,0,0
R0360,P053,8.0,True,3,S_FORCED|S_OVERLAP|S_NEG,1,0,1,0,0,1,0,0
R0363,P054,1.0,True,2,S_FORCED|S_TRIAL,1,0,0,0,0,0,1,0
R0366,P055,8.0,True,3,S_FORCED|S_HINT|S_CROSS,1,0,0,0,1,0,0,1
R0369,P056,1.0,True,1,S_TRIAL,0,0,0,0,0,0,1,0
R0372,P057,6.0,True,2,S_FORCED|S_OVERLAP,1,0,1,0,0,0,0,0
R0375,P058,4.0,True,3,S_FORCED|S_OVERLAP|S_NEG,1,0,1,0,0,1,0,0
R0378,P059,8.0,True,3,S_OVERLAP|S_EDGE|S_CROSS,0,0,1,1,1,0,0,0
R0381,P060,1.0,True,2,S_FORCED|S_HINT,1,0,0,0,0,0,0,1
R0384,P061,7.0,True,2,S_OVERLAP|S_CONSTR,0,1,1,0,0,0,0,0
R0387,P062,5.0,True,4,S_FORCED|S_NEG|S_EDGE|S_OVERLAP,1,0,1,1,0,1,0,0
R0390,P063,2.0,True,4,S_FORCED|S_OVERLAP|S_NEG|S_HINT,1,0,1,0,0,1,0,1
R0393,P064,3.0,True,3,S_FORCED|S_OVERLAP|S_CROSS,1,0,1,0,1,0,0,0
R0396,P065,7.0,True,3,S_FORCED|S_OVERLAP|S_NEG,1,0,1,0,0,1,0,0
R0399,P066,7.0,True,3,S_FORCED|S_OVERLAP|S_EDGE,1,0,1,1,0,0,0,0
R0402,P067,5.0,True,4,S_OVERLAP|S_FORCED|S_EDGE|S_NEG,1,0,1,1,0,1,0,0
R0405,P068,6.0,True,3,S_NEG|S_FORCED|S_OVERLAP,1,0,1,0,0,1,0,0
